controle_review_longo,data,nota,Notas
"Que sensacional! O modelo da minha tv é uma das primeiras smarts e a imagem bem fraca. Foi colocar o fire stick que parece q virou de última geração! Óbvio que tem q ter uma internet excelente tbm, mas eu tô bem satisfeito com o aparelho. Íntegra TDS os streamings além de ter canais oferecidos pela Amazon gratuitamente (basta ficar de olho na memória do dispositivo). Intuitivo, simples, silencioso, fora q Alexa é excelente!",2021-05-10,5,Positivo
"Devo dizer que estou bem decepcionado.
Comprei esse produto faz umas duas semanas e de primeira começou a travar toda vez que eu estava assistindo algo, ao ponto de precisar tirar da tomada e reconectar para voltar a funcionar. A equipe da Amazon entrou em contato comigo, fiz tudo o que me sugeriram, cheguei mesmo a restaurar às configurações de fábrica TRÊS vezes, porém, o problema persistia.
Pensando que podia ser algum defeito no meu dispositivo realizei o processo de devolução e comprei outro igual, contudo, o percebi que o problema persiste. Notei ainda que o problema acontece toda vez que crio um sistema de som combinando speakers entre o fire sitck e a echo dot através do aplicativo Alexa. Pelo visto o defeito não era só do primeiro dispositivo que eu tinha comprado, mas deve ser algo do software que está falho ou algo do tipo.
Me sinto extramente frustrado pois era um produto que tinha tudo pra ser excelente, mas por ter esse defeito de travar toda vez que combina os speakers claramente não cumpre plenamente o que se propõe, é realmente uma pena.",2021-07-13,2,Negativo
"Eu comprei esse modelo justamente pelos botões de volume e power mas nenhum funciona com minha TV, basicamente paguei mais caro sem poder usar, não foi especificado na descrição a necessidade de ser HDMI CEC.",2021-05-15,3,Positivo
"Pow, Amazon, que isso? vcs eram tão competentes coma a entrega, sou cliente há anos. Mas o q está acontecendo com a operação de vcs em Pernambuco? - tanto o Echo Dot quanto a Fire Tv que comprei recentemente, chegaram com dias de atraso e as embalagens vieram toda amassada, os produtos todos bagunçados, parecendo q alguém tinha jogado futebol com as caixas. Só não devolvi pq, por milagre, os produtos estavam funcionando mesmo estando com a embalagem danificadas.",2021-09-27,1,Negativo
"Pontos positivos: o processo de instalação é bem orientado pelo próprio aparelho. As funcionalidades da Alexa são interessantes. A qualidade da transmissão é impressionante. Comprei em pré-venda e chegou no exato dia programado. Pontos negativos: Preço salgado. Controle remoto aparentemente frágil. Poucos apps (não achei o SKY, Premiere (incompatível com apps dos canais Globo), e outros de meu interesse. O espelhamento de tela é muito ruim (neste quesito, perde de longe para os Chromecasts que tenho em outros ambientes da casa). Acredito que possa melhorar muito ainda.",2021-05-17,5,Positivo
"Teclado na tela não é QWERT, e também o navegador Silk não sincroniza senhas, e usuários, não existe mais a possibilidade de instalar o Navegador Firefox.
Aplicativo Fire TV, tem um joystick virtual Confuso. Poderia ter um guia de Canal no aplicativo de celular, e opção de aumentar e diminuir som no aplicativo. Outro detalhe que falta é ter o mesmo visual do aplicativo Alexa.",2021-05-07,4,Positivo
"Gostei muito do produto, achei somente que o controle é um pouco frágil. Quanto ao produto, estou satisfeito até agora.
Mas escrevo aqui para fazer uma reclamação da entrega pela Amazon. Eles escolheram uma péssima transportadora para fazer a entrega, onde além de demorar mais de uma semana para a entrega, a caixa do Fire stick veio bem amassada como mostro nas fotos. Pelo rastreamento, meu firestick rodou o Nordeste todo até chegar em minhas mãos. Só a título de comparação, comprei um celular no site das Americanas e me entregaram em 2 dias em uma caixa bem protegida. O Firestick pela Amazon veio dentro de um envelope com plástico bolha somente.
Fiquei um pouco decepcionado com essa logística da Amazon, pois estou acostumado a fazer compras online e foi a primeira vez na Amazon.",2021-08-18,1,Negativo
"Sempre via em vídeos o pessoal falando com a Alexa sem encostar em nada, mas isso só é possível se você também tiver uma ECHO SHOW, informação que me foi confirmada pelo suporte da Amazon. Os comandos dados a ela funcionam bem, mas sem uma caixa de som externo eles só poderão servir se você apertar o botão de microfone primeiro.
Outros detalhes importantes: O Fire Stick vem com uma caixinha extra para melhorar o sinal do wi-fi, não a ignore, minha tv fica do lado de um repetidor e o sinal caia com certa frequência, coloquei a caixinha quando instalei o Fire Stick e agora ele não cai mais.
Enfim, estou muito satisfeito com a compra :D
Ps: Amazon, traz logo a Globo Play e o HBO MAX de forma oficial para a Fire Stick :)",2021-10-23,5,Positivo
"O Fire Stick trava (aconteceu várias vezes) e é necessário desligar a fonte de energia. A conexão com o Echo Studio, por vezes, deixa de funcionar, especialmente quando é dado comando de voz para Alexa controlar a apresentação de andamento de vídeo (Amazon ou Netflix), deixando de sair som tanto no Echo Studio como na TV. Nesses casos é necessário desparear os dispositivos, mas nem sempre isso funciona, tendo que também desligar o Fire Stick da fonte de energia elétrica.
O software/hardware do Fire Stick deixa a desejar pois é incapaz de enviar o som ao mesmo tempo para a TV (via HDMI) e para o Echo Studio (via Bluetooth). Assim como não há opção de enviar o som via HDMI ou Bluetooth, de acordo com a preferência do usuário, sem ter que desparear os dispositivos",2021-07-04,3,Positivo
"Muito contente com o FIRE TV STICK da Amazon. Não atende 100% nossas expectativas em razão da ausência da HBOMAX, mas deve ser apenas questão de tempo estar disponível também. De resto, perfeito! Principalmente por não ter Globoplay! Um SALVE às mais diferentes plataformas de Streamings que nos libertaram de mais de 50 anos de lavagem cerebral empurradas ""goela a baixo""! Certo que era pela TV aberta, mas não tínhamos como nos livrarmos do assédio visual e auditivo pois ela estava em todo lugar que se ia, na pastelaria da esquina, no consultório médico, no salão de beleza, no açougue, em toda e qualquer sala de espera, na banca de revista (quando ainda comercializavam esses produtos em papel), na borracharia, na rodoviária, no aeroporto, enfim, em TODOS OS LUGARES! Em todos os horários a nos impor a ditadura de pensamento e de costumes, entre outros. Mas, sim, falando especificamente do FIRE TV STICK, chegou em perfeitas condições e antes do previsto. Muito simples e fácil sua instalação e configuração na TV - meu aparelho é um LG adquirido há 18 anos, e ficou tinindo de moderno! Dentre todas suas funcionalidades a que mais empolgou a todos em casa foi sem dúvida a ALEXA! ESTAMOS MUITO SATISFEITOS COM O PRODUTO!",2021-11-16,5,Positivo
"Minha Smart TV é de 2010, e já não dispunha de YouTube, Plex, Prime Video, etc. Além de que, mesmo os Aplicativos ainda disponíveis (NetFlix), eram Versões bem antigas! Agora, com o Fire TV, não apenas pude instalar Versões bastante atuais de todos estes Aplicativos, como a performance é muito melhor que a da Smart TV! Além é claro, da facilidade de poder utilizar os comandos de voz da Alexa para acessar o que preciso. E ainda por cima, o Controle da Fire TV, foi integrado a TV/Sound Bar, então além de controlar o Volume da TV, posso ligar/desligar tudo pelo Controle da Fire TV, ou por comando de voz da Alexa.",2021-06-11,5,Positivo
Minha experiência tem sido maravilhosa.,2021-05-07,5,Positivo
"Produto incrível, de fácil instalação com boa fluidez, tenho um Fire TV Stick Basic que já é bom, mas esse novo supera na qualidade do desempenho sem contar que vem com os botões de comandos que facilita muito adorei.",2021-09-09,5,Positivo
"Tela trava frequentemente mesmo utilizando só Netflix e Prime Vídeo. Sendo necessário religar o cabo de força. Só não fiz devolução porque perdi embalagem. Melhor que o Chromecast antigo que não tem controle, mas devido às inconveniência de ter que ficar levantando múltiplas vezes ao longo de 1 único episódio de seriado pra resetar o aparelho, me faz preferir utilizar o Chromecast antigo sem controle remoto mesmo.",2021-07-02,1,Negativo
"A premissa desse tipo aparelho deveria ser ""plug'n play"". Mas, infelizmente, não foi assim com o equipamento, o que me faz afinar: leigos em informática terão extrema dificuldade para instalar e configurar o produto.
Primeira desvantagem: o fato do stick ser introduzido numa porta HDMI, mas ter que depender de uma fonte 9V, que o alimenta via porta mini-USB. Poderia ser retroalimentado, ligando-se a portas USB que a maioria das televisões possuem, livrando a estante/rack de mais um fio exposto.
Segunda dificuldade: espelhamento de smartphone no Stick. Até agora, não consegui fazer isso, de forma simples e sem ter que recorrer a um app pago.
Terceira dificuldade: percebi que o Stick começa a FALHAR COM OUTROS APPS (YouTube, Netflix) após certo tempo de uso (começa a ter problema de buffering, tornando impossível o uso de streaming), MAS NÃO AFETA O DESEMPENHO DO PRIME VÍDEO OU AMAZON MUSIC. Discriminação de tráfego de dados? Privilegiando apps próprios? Seja o que for, não gostei!
Quarto ponto fraco: apesar de ser excelente o OS do Stick se ""sobrepor"" ao OS Nativo da TV, o controle remoto não permite alternar o uso/acesso de outras funções nativas (como trocar de canais abertos; configuração de tela e áudio). PS: não venham dizer que não dá, porque se o Fire Stick controla o volume da minha TV (e pela tela, da pra ver que é o OS original da televisão), ele poderia fazer todo o resto também!",2021-12-25,3,Positivo
"Mesmo mantendo atualizado, ao usar aplicativos como Disney e Netflix, a tela congela e só volta a aparecer quando desligado o aparelho. Tornou impossível o uso de ambos Disney e Netflix. Estou seriamente cogitando reembolso se o problema persistir. Não recomendo para ninguém caso este problema persista. E sim, tentei fazer as operações que o suporte sugere, tais quais reiniciar, reinstalar aplicativos, verificar atualizações e até mesmo resetar o aparelho.",2021-09-20,1,Negativo
"Chegou em menos de 2 dias, bem embalado sem danos, eu usava Mi Stick, ela esquenta muito, coisa que essa nova Firetv nova não faz,ontem judiei dela, usei por mais de 9 horas, o efeito de transição é fluído e rápido,o kit dela é bem completo, minha TV da Philco tem uma entrega bem apertada, então o extensor que vem na fire ajuda bastante.
Eu só não dou 5 estrelas pq o controle não tem compatibilidade com botões de volume e mute da minha TV.
O aparelho não tem controle próprio de volume, sendo assim o som está no Max,percebe uma pequena distorção devido ao alto volume.",2021-05-15,4,Positivo
"Só tenho elogios para o Fire Tv Stick com controle remoto da Amazon.
Já tenho experiência gratificantes há anos com a Apple TV, pois não me adaptei a TVs Smart.
Quando vi o lançamento do Stick da Amazon com controle remoto, quis conhecer para usar em outra Tv. AMEI o formato de pendrive que já é plugado diretamente numa entrada HMDI da tv; pela fácil instalação (faz quase tudo sozinho) e pela grande oferta de aplicativos, inclusive meus preferidos como Prime, Netflix, YouTube e muitos outros.
A imagem é maravilhosa e as configurações são facilmente encontradas.
O controle remoto é tudo de bom: ótimo tamanho e com todas as funções necessárias para o conforte de um relaxamento.
Acho que deu pra entender que estou super feliz, mas ainda com outros aplicativos para configurar rsrsrs. Valeu Amazon❣️",2021-07-05,5,Positivo
