"controle_review_curto","controle_review_longo","controle_nota","controle_nota_url","controle_selection1"
"Mais que recomendo!!!!","Que sensacional! O modelo da minha tv é uma das primeiras smarts e a imagem bem fraca. Foi colocar o fire stick que parece q virou de última geração! Óbvio que tem q ter uma internet excelente tbm, mas eu tô bem satisfeito com o aparelho. Íntegra TDS os streamings além de ter canais oferecidos pela Amazon gratuitamente (basta ficar de olho na memória do dispositivo). Intuitivo, simples, silencioso, fora q Alexa é excelente!","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R3NJE713QUP5S9?ASIN=B08C1K6LB2","Avaliado no Brasil em 10 de maio de 2021"
"Não cumpre plenamente o que se propõe","Devo dizer que estou bem decepcionado.
Comprei esse produto faz umas duas semanas e de primeira começou a travar toda vez que eu estava assistindo algo, ao ponto de precisar tirar da tomada e reconectar para voltar a funcionar. A equipe da Amazon entrou em contato comigo, fiz tudo o que me sugeriram, cheguei mesmo a restaurar às configurações de fábrica TRÊS vezes, porém, o problema persistia.
Pensando que podia ser algum defeito no meu dispositivo realizei o processo de devolução e comprei outro igual, contudo, o percebi que o problema persiste. Notei ainda que o problema acontece toda vez que crio um sistema de som combinando speakers entre o fire sitck e a echo dot através do aplicativo Alexa. Pelo visto o defeito não era só do primeiro dispositivo que eu tinha comprado, mas deve ser algo do software que está falho ou algo do tipo.
Me sinto extramente frustrado pois era um produto que tinha tudo pra ser excelente, mas por ter esse defeito de travar toda vez que combina os speakers claramente não cumpre plenamente o que se propõe, é realmente uma pena.","2,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R1U32H0ZBYU53O?ASIN=B08C1K6LB2","Avaliado no Brasil em 13 de julho de 2021"
"Não tem integração com toda TV","Eu comprei esse modelo justamente pelos botões de volume e power mas nenhum funciona com minha TV, basicamente paguei mais caro sem poder usar, não foi especificado na descrição a necessidade de ser HDMI CEC.","3,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R15F0QMXYWJFPG?ASIN=B08C1K6LB2","Avaliado no Brasil em 15 de maio de 2021"
"O PRODUTO É ÓTIMO, MAS A ENTREGA FOI MEDONHA!!!","Pow, Amazon, que isso? vcs eram tão competentes coma a entrega, sou cliente há anos. Mas o q está acontecendo com a operação de vcs em Pernambuco? - tanto o Echo Dot quanto a Fire Tv que comprei recentemente, chegaram com dias de atraso e as embalagens vieram toda amassada, os produtos todos bagunçados, parecendo q alguém tinha jogado futebol com as caixas. Só não devolvi pq, por milagre, os produtos estavam funcionando mesmo estando com a embalagem danificadas.","1,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/RFL1409KEZP64?ASIN=B08C1K6LB2","Avaliado no Brasil em 27 de setembro de 2021"
"Versátil","Pontos positivos: o processo de instalação é bem orientado pelo próprio aparelho. As funcionalidades da Alexa são interessantes. A qualidade da transmissão é impressionante. Comprei em pré-venda e chegou no exato dia programado. Pontos negativos: Preço salgado. Controle remoto aparentemente frágil. Poucos apps (não achei o SKY, Premiere (incompatível com apps dos canais Globo), e outros de meu interesse. O espelhamento de tela é muito ruim (neste quesito, perde de longe para os Chromecasts que tenho em outros ambientes da casa). Acredito que possa melhorar muito ainda.","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R5G7G9SQ81QS0?ASIN=B08C1K6LB2","Avaliado no Brasil em 17 de maio de 2021"
"Muito Bom e rápido!","Teclado na tela não é QWERT, e também o navegador Silk não sincroniza senhas, e usuários, não existe mais a possibilidade de instalar o Navegador Firefox.
Aplicativo Fire TV, tem um joystick virtual Confuso. Poderia ter um guia de Canal no aplicativo de celular, e opção de aumentar e diminuir som no aplicativo. Outro detalhe que falta é ter o mesmo visual do aplicativo Alexa.","4,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/RSZRJVWTE0NU0?ASIN=B08C1K6LB2","Avaliado no Brasil em 7 de maio de 2021"
"ótimo produto, péssima logística para entrega da Amazon","Gostei muito do produto, achei somente que o controle é um pouco frágil. Quanto ao produto, estou satisfeito até agora.
Mas escrevo aqui para fazer uma reclamação da entrega pela Amazon. Eles escolheram uma péssima transportadora para fazer a entrega, onde além de demorar mais de uma semana para a entrega, a caixa do Fire stick veio bem amassada como mostro nas fotos. Pelo rastreamento, meu firestick rodou o Nordeste todo até chegar em minhas mãos. Só a título de comparação, comprei um celular no site das Americanas e me entregaram em 2 dias em uma caixa bem protegida. O Firestick pela Amazon veio dentro de um envelope com plástico bolha somente.
Fiquei um pouco decepcionado com essa logística da Amazon, pois estou acostumado a fazer compras online e foi a primeira vez na Amazon.","1,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R3TEJF13JD83FD?ASIN=B08C1K6LB2","Avaliado no Brasil em 18 de agosto de 2021"
"A Alexa não nos escuta se não apertamos o botão do microfone","Sempre via em vídeos o pessoal falando com a Alexa sem encostar em nada, mas isso só é possível se você também tiver uma ECHO SHOW, informação que me foi confirmada pelo suporte da Amazon. Os comandos dados a ela funcionam bem, mas sem uma caixa de som externo eles só poderão servir se você apertar o botão de microfone primeiro.
Outros detalhes importantes: O Fire Stick vem com uma caixinha extra para melhorar o sinal do wi-fi, não a ignore, minha tv fica do lado de um repetidor e o sinal caia com certa frequência, coloquei a caixinha quando instalei o Fire Stick e agora ele não cai mais.
Enfim, estou muito satisfeito com a compra :D
Ps: Amazon, traz logo a Globo Play e o HBO MAX de forma oficial para a Fire Stick :)","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R25HDTYZ401DOZ?ASIN=B08C1K6LB2","Avaliado no Brasil em 23 de outubro de 2021"
"Fire Stick trava e conexão com Echo Studio é problemática","O Fire Stick trava (aconteceu várias vezes) e é necessário desligar a fonte de energia. A conexão com o Echo Studio, por vezes, deixa de funcionar, especialmente quando é dado comando de voz para Alexa controlar a apresentação de andamento de vídeo (Amazon ou Netflix), deixando de sair som tanto no Echo Studio como na TV. Nesses casos é necessário desparear os dispositivos, mas nem sempre isso funciona, tendo que também desligar o Fire Stick da fonte de energia elétrica.
O software/hardware do Fire Stick deixa a desejar pois é incapaz de enviar o som ao mesmo tempo para a TV (via HDMI) e para o Echo Studio (via Bluetooth). Assim como não há opção de enviar o som via HDMI ou Bluetooth, de acordo com a preferência do usuário, sem ter que desparear os dispositivos","3,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R2HB6ZZ0TYTJTJ?ASIN=B08C1K6LB2","Avaliado no Brasil em 4 de julho de 2021"
"ÓTIMA ESCOLHA!","Muito contente com o FIRE TV STICK da Amazon. Não atende 100% nossas expectativas em razão da ausência da HBOMAX, mas deve ser apenas questão de tempo estar disponível também. De resto, perfeito! Principalmente por não ter Globoplay! Um SALVE às mais diferentes plataformas de Streamings que nos libertaram de mais de 50 anos de lavagem cerebral empurradas ""goela a baixo""! Certo que era pela TV aberta, mas não tínhamos como nos livrarmos do assédio visual e auditivo pois ela estava em todo lugar que se ia, na pastelaria da esquina, no consultório médico, no salão de beleza, no açougue, em toda e qualquer sala de espera, na banca de revista (quando ainda comercializavam esses produtos em papel), na borracharia, na rodoviária, no aeroporto, enfim, em TODOS OS LUGARES! Em todos os horários a nos impor a ditadura de pensamento e de costumes, entre outros. Mas, sim, falando especificamente do FIRE TV STICK, chegou em perfeitas condições e antes do previsto. Muito simples e fácil sua instalação e configuração na TV - meu aparelho é um LG adquirido há 18 anos, e ficou tinindo de moderno! Dentre todas suas funcionalidades a que mais empolgou a todos em casa foi sem dúvida a ALEXA! ESTAMOS MUITO SATISFEITOS COM O PRODUTO!","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R2V4XJ4DZ26DJQ?ASIN=B08C1K6LB2","Avaliado no Brasil em 16 de novembro de 2021"
"Minha antiga Smart TV ganhou vida nova com o Fire TV Stick!","Minha Smart TV é de 2010, e já não dispunha de YouTube, Plex, Prime Video, etc. Além de que, mesmo os Aplicativos ainda disponíveis (NetFlix), eram Versões bem antigas! Agora, com o Fire TV, não apenas pude instalar Versões bastante atuais de todos estes Aplicativos, como a performance é muito melhor que a da Smart TV! Além é claro, da facilidade de poder utilizar os comandos de voz da Alexa para acessar o que preciso. E ainda por cima, o Controle da Fire TV, foi integrado a TV/Sound Bar, então além de controlar o Volume da TV, posso ligar/desligar tudo pelo Controle da Fire TV, ou por comando de voz da Alexa.","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R2QT2NR0XJBT57/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08C1K6LB2","Avaliado no Brasil em 11 de junho de 2021"
"Agora TUDO OK!","Minha experiência tem sido maravilhosa.","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/R19VURN0HH7QC9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08C1K6LB2","Avaliado no Brasil em 7 de maio de 2021"
"Ótimo produto.","Produto incrível, de fácil instalação com boa fluidez, tenho um Fire TV Stick Basic que já é bom, mas esse novo supera na qualidade do desempenho sem contar que vem com os botões de comandos que facilita muito adorei.","5,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/RG5GZP078W8WN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08C1K6LB2","Avaliado no Brasil em 9 de setembro de 2021"
"Tela Travando Frequentemente, Devolveria se ainda tivesse embalagem","Tela trava frequentemente mesmo utilizando só Netflix e Prime Vídeo. Sendo necessário religar o cabo de força. Só não fiz devolução porque perdi embalagem. Melhor que o Chromecast antigo que não tem controle, mas devido às inconveniência de ter que ficar levantando múltiplas vezes ao longo de 1 único episódio de seriado pra resetar o aparelho, me faz preferir utilizar o Chromecast antigo sem controle remoto mesmo.","1,0 de 5 estrelas","https://www.amazon.com.br/gp/customer-reviews/RS9F6TALK4OLE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08C1K6LB2","Avaliado no Brasil em 2 de julho de 2021"
